Brand;Model;Vechime;Tip de combustibil;Tip de transmisie;Capacitatea motorului;Putere motor;KM;Pãr?i înlocuite;Pãr?i vopsite;Pre?
Seat;Ibiza;5;Motorinã;Automatã;1600;90;73000;0;0;145000
Toyota;Corolla;26;Benzinã;Automatã;1400;113;330000;3;10;66000
Toyota;Corolla;5;Benzinã;Manualã;1300;99;66000;0;0;140000
Citroen;C4;15;Benzinã;Manualã;1400;91;158000;0;3;68500
Volkswagen;Polo;16;Motorinã;Manualã;1400;75;288000;1;0;65500
Hyundai;Accent;13;Benzinã;Manualã;1400;97;136900;0;0;88000
Peugeot;207;12;Benzinã;Manualã;1400;91;92000;0;1;82000
Mazda;3;10;Benzinã;Manualã;1600;105;146000;1;0;121750
Peugeot;407;12;Motorinã;Manualã;1600;112;239000;3;5;79250
Citroen;C3;1;Benzinã;Automatã;1200;112;11600;0;1;179000
Opel;Vectra;28;Benzinã;Manualã;2000;150;335000;1;0;31000
Seat;Leon;9;Motorinã;Manualã;1600;105;126150;0;1;125000
Hyundai;Getz;10;Benzinã;Manualã;1400;97;220000;0;5;67500
Toyota;Corolla;2;Benzinã;Manualã;1600;132;33850;0;0;183000
Opel;Astra;12;Benzinã;Automatã;1400;113;120000;0;0;117000
Skoda;Fabia;15;Benzinã;Manualã;1400;100;217000;0;5;71500
Ford;Focus;8;Motorinã;Manualã;1600;115;187500;0;2;142500
Renault;Symbol;6;Benzinã;Manualã;1100;75;109000;0;7;74900
Opel;Astra;15;Benzinã;Automatã;1600;100;270000;0;1;76750
Hyundai;Getz;15;Motorinã;Manualã;1500;82;188000;0;2;62500
Renault;R;27;Benzinã;Manualã;1400;83;270000;0;0;29900
Fiat;Linea;6;Motorinã;Manualã;1200;95;222000;1;1;80500
Renault;Fluence;8;Motorinã;Manualã;1500;90;180000;1;6;92500
Volkswagen;Passat;3;Motorinã;Automatã;1600;120;48600;0;0;450000
Opel;Astra;5;Benzinã;Automatã;1400;140;63500;2;3;150000
Honda;Civic;9;Benzinã;Automatã;1600;125;171350;0;1;154000
Citroen;C-Elysee;7;Motorinã;Manualã;1600;93;220000;2;0;95000
Peugeot;206;19;Benzinã;Manualã;1600;110;220000;1;0;62000
Hyundai;Accent;4;Motorinã;Automatã;1600;136;63000;0;2;153000
Volkswagen;Golf;14;Benzinã;Automatã;1600;115;155000;1;4;110000
Mercedes;A;4;Motorinã;Automatã;1500;109;19000;0;1;355000
Volkswagen;Golf;6;Benzinã;Automatã;1200;105;110000;0;2;181000
Lada;Vega;19;Benzinã;Manualã;1500;77;188000;0;0;32500
Renault;Clio;4;Motorinã;Manualã;1500;75;102000;0;1;124000
Dacia;Sandero;5;Motorinã;Manualã;1500;90;264000;2;1;105000
Opel;Astra;21;Benzinã;Automatã;1600;100;290000;2;10;58000
Audi;A4;8;Benzinã;Automatã;1800;213;64000;0;3;330000
Renault;Clio;15;Benzinã;Manualã;1400;75;262000;0;0;66000
Kia;Rio;9;Motorinã;Manualã;1500;110;160750;0;0;89000
Opel;Vectra;28;Benzinã;Manualã;1800;90;315000;0;0;29750
BMW;5;2;Benzinã;Automatã;1600;170;29000;0;0;740000
Fiat;Linea;7;Motorinã;Manualã;1200;95;171000;1;1;87500
Fiat;Linea;8;Motorinã;Manualã;1200;95;169000;0;5;75250
Renault;Clio;5;Motorinã;Manualã;1500;75;125000;1;2;105000
Chevrolet;Cruze;8;Benzinã;Manualã;1600;124;103000;0;2;105000
Opel;Astra;9;Motorinã;Manualã;1200;88;185000;0;1;109500
Volkswagen;Polo;6;Benzinã;Manualã;1200;90;85000;0;0;135000
Toyota;Corolla;2;Benzinã;Manualã;1600;132;62000;0;2;138000
Fiat;Linea;8;Motorinã;Manualã;1200;95;131200;2;2;87000
Hyundai;Sonata;10;Motorinã;Automatã;2000;150;227000;0;0;115000
Peugeot;307;15;Benzinã;Automatã;1600;110;186000;2;4;81500
Renault;Clio;5;Motorinã;Manualã;1500;75;125000;1;2;107000
Toyota;Corolla;15;Benzinã;Manualã;1600;110;201000;0;0;88000
Ford;Focus;10;Benzinã;Automatã;1600;100;190000;0;0;125000
Volkswagen;Passat;14;Motorinã;Manualã;2000;140;242000;1;1;126750
Renault;Megane;3;Motorinã;Automatã;1500;110;188000;0;0;174000
Toyota;Avensis;16;Benzinã;Manualã;1600;110;212000;1;5;101250
Citroen;C-Elysee;5;Motorinã;Manualã;1600;93;145000;0;0;115000
Audi;A4;9;Motorinã;Automatã;2000;138;204000;1;1;197000
Renault;Fluence;10;Motorinã;Manualã;1500;105;240000;0;6;100000
Proton;415;22;Benzinã;Manualã;1500;91;170000;0;6;35000
Opel;Astra;5;Benzinã;Automatã;1400;140;50000;0;2;163000
Opel;Vectra;14;Benzinã;Manualã;1600;105;181500;0;2;99800
Citroen;Xantia;22;Benzinã;Manualã;2000;137;320000;0;3;39000
Renault;Clio;3;Motorinã;Manualã;1500;75;75000;0;2;129500
Kia;Picanto;9;Benzinã;Automatã;1100;65;77000;0;8;97000
Peugeot;206;16;Benzinã;Manualã;1400;76;210000;1;0;59750
Volkswagen;Passat;21;Motorinã;Manualã;1900;110;368000;2;9;59500
Fiat;Albea;17;Benzinã;Manualã;1200;80;185000;0;4;55000
Renault;R;23;Benzinã;Manualã;1600;90;335000;2;0;38000
Volkswagen;Passat;7;Motorinã;Manualã;1600;105;162000;0;0;192750
Volkswagen;Polo;8;Motorinã;Manualã;1200;75;178000;4;1;99999
Seat;Ibiza;3;Benzinã;Automatã;1000;110;37000;0;0;189000
Volkswagen;Polo;2;Benzinã;Automatã;1000;95;15000;0;0;177000
Tofaþ;Þahin;22;Benzinã;Manualã;1600;80;135000;0;1;55000
Opel;Vectra;15;Benzinã;Manualã;1600;100;178000;2;0;78000
Mercedes;C;6;Benzinã;Automatã;1600;156;175000;0;0;359000
Citroen;C-Elysee;8;Motorinã;Manualã;1600;93;193000;1;3;90000
Mercedes;C;8;Benzinã;Automatã;1400;163;125400;0;0;242750
Volkswagen;Passat;15;Benzinã;Manualã;2000;150;105000;0;0;118500
Fiat;Linea;9;Motorinã;Manualã;1200;90;183000;0;1;88500
Volkswagen;Bora;16;Benzinã;Manualã;1600;105;255000;1;1;82500
Dacia;Sandero;2;Benzinã;Automatã;900;90;24000;0;0;137500
Audi;A4;11;Benzinã;Manualã;1800;120;230000;1;8;175000
Honda;Civic;18;Benzinã;Automatã;1600;110;299999;0;2;81500
Fiat;Linea;11;Benzinã;Manualã;1400;77;225000;2;0;63000
Mercedes;B;13;Benzinã;Automatã;1500;95;170000;1;7;139000
Volkswagen;Polo;14;Benzinã;Manualã;1400;80;120000;2;5;74500
Tofaþ;Þahin;27;Benzinã;Manualã;1600;80;225000;0;2;21100
Renault;Latitude;9;Motorinã;Automatã;2000;175;158000;0;0;182000
Hyundai;i20;4;Benzinã;Automatã;1400;100;53000;0;0;165000
Opel;Astra;4;Motorinã;Automatã;1600;136;121000;0;1;165000
Citroen;C4;7;Motorinã;Automatã;1600;117;200000;0;7;128500
Volkswagen;Passat;15;Benzinã;Manualã;2000;150;99000;0;0;123000
Toyota;Corolla;5;Motorinã;Manualã;1400;90;98000;2;1;139000
Hyundai;i30;6;Motorinã;Automatã;1600;128;54000;0;0;205000
Ford;Focus;15;Benzinã;Manualã;1600;100;244000;0;3;79500
Peugeot;308;1;Motorinã;Automatã;1500;132;35000;0;0;230000
Renault;Megane;2;Motorinã;Automatã;1500;110;54750;0;0;265000
Alfa;159;12;Benzinã;Manualã;1800;140;222380;0;1;118500
Ford;Fiesta;7;Motorinã;Manualã;1500;75;170000;5;3;100000
Volkswagen;Jetta;5;Motorinã;Manualã;1600;105;181000;1;2;167500
Fiat;Palio;20;Benzinã;Manualã;1600;100;164500;1;8;52000
Renault;Megane;1;Benzinã;Manualã;1600;115;35000;0;0;185500
BMW;7;18;Benzinã;Automatã;3600;272;233245;0;2;156000
BMW;3;26;Benzinã;Manualã;1800;140;368000;2;11;53000
Opel;Astra;8;Motorinã;Manualã;1200;95;244500;2;5;109800
Skoda;Fabia;13;Motorinã;Manualã;1400;80;340000;0;2;63500
Mercedes;C;5;Motorinã;Automatã;1600;136;133000;0;1;420000
Fiat;Linea;8;Motorinã;Manualã;1200;90;133000;1;0;86000
Renault;Megane;0;Benzinã;Automatã;1300;140;35;0;0;310000
Hyundai;i20;5;Benzinã;Manualã;1200;84;55900;2;0;133500
Renault;Megane;15;Benzinã;Manualã;1600;115;187000;0;6;66000
Renault;Grand;9;Motorinã;Manualã;1500;105;196500;0;0;132500
Volkswagen;Passat;12;Motorinã;Manualã;2000;140;300000;0;5;104250
Volkswagen;VW;6;Benzinã;Automatã;1400;160;54000;0;0;226000
Volkswagen;Passat;6;Motorinã;Manualã;1600;105;122500;0;2;193000
Audi;A3;9;Benzinã;Manualã;1600;102;157000;3;6;119000
Skoda;Favorit;27;Benzinã;Manualã;1300;57;165000;0;1;20000
Volkswagen;Polo;4;Motorinã;Manualã;1400;75;147000;0;2;130500
Opel;Astra;4;Benzinã;Manualã;1600;115;73000;0;0;150000
Renault;Megane;14;Benzinã;Automatã;1600;110;173000;0;0;115000
Opel;Astra;16;Benzinã;Manualã;1600;100;243000;3;8;78000
Honda;Accord;22;Benzinã;Manualã;2000;131;315000;0;1;58500
Seat;Leon;3;Benzinã;Manualã;1200;110;21000;0;0;208000
Renault;Clio;14;Benzinã;Manualã;1400;98;139000;0;1;68500
Renault;Clio;14;Benzinã;Manualã;1400;98;139000;0;1;68500
Renault;Fluence;7;Motorinã;Manualã;1500;90;180000;2;3;115000
Renault;Clio;3;Motorinã;Manualã;1500;75;73200;0;0;140000
Fiat;Linea;8;Motorinã;Manualã;1600;105;259000;3;1;85000
Citroen;C3;15;Motorinã;Manualã;1400;93;211000;1;1;56000
Fiat;Albea;12;Benzinã;Manualã;1400;77;55000;0;0;69500
Opel;Astra;13;Benzinã;Automatã;1600;105;135000;0;4;92500
Audi;A4;20;Motorinã;Manualã;2500;150;194000;2;1;80000
Renault;Clio;9;Motorinã;Manualã;1500;85;135000;0;0;101000
Toyota;Corolla;9;Motorinã;Manualã;1400;90;211000;0;2;119500
Renault;Symbol;8;Motorinã;Manualã;1500;85;171500;0;0;95000
Renault;Clio;19;Benzinã;Manualã;1400;75;218000;0;1;42500
Volkswagen;Passat;7;Motorinã;Automatã;1600;105;192000;0;2;205000
Opel;Astra;13;Benzinã;Manualã;1400;90;117000;0;0;85000
Ford;Mondeo;11;Benzinã;Manualã;1600;125;241000;0;2;110000
Opel;Astra;21;Benzinã;Manualã;1400;90;225000;2;7;65750
Hyundai;Elantra;9;Benzinã;Automatã;1600;132;163000;0;5;126500
Volvo;S60;6;Motorinã;Automatã;1600;115;208000;0;0;225000
Mercedes;C;2;Motorinã;Automatã;1600;136;88500;0;0;427000
Opel;Astra;18;Benzinã;Manualã;1400;60;250000;0;7;60000
Renault;Symbol;12;Motorinã;Manualã;1500;65;193000;0;4;60000
Opel;Astra;16;Benzinã;Manualã;1400;90;237600;0;3;79500
Opel;Astra;16;Benzinã;Manualã;1400;90;237600;0;3;79500
Fiat;Egea;2;Motorinã;Manualã;1200;95;51500;0;2;125000
Volkswagen;Polo;11;Benzinã;Manualã;1400;80;77000;0;0;115000
Volkswagen;Polo;15;Benzinã;Manualã;1400;75;185000;0;7;86000
Renault;Clio;16;Benzinã;Manualã;1400;75;184000;1;4;56500
Renault;Fluence;8;Motorinã;Manualã;1500;110;142000;0;5;99750
Honda;Jazz;11;Benzinã;Manualã;1300;100;131000;0;0;115000
Fiat;Albea;15;Motorinã;Manualã;1200;70;181000;1;0;62000
Opel;Astra;10;Motorinã;Automatã;1200;90;203000;1;0;116000
Fiat;Linea;9;Motorinã;Manualã;1200;90;180000;0;2;75500
Toyota;Corolla;11;Motorinã;Manualã;1400;90;139000;3;0;107000
MINI;Cooper;14;Benzinã;Automatã;1600;115;149500;2;6;95000
Toyota;Corolla;4;Benzinã;Manualã;1300;99;82000;0;0;144000
Renault;Clio;5;Benzinã;Automatã;1200;120;54000;0;0;155000
Ford;Fiesta;7;Benzinã;Automatã;1600;105;88000;1;0;128000
Opel;Astra;22;Benzinã;Manualã;1400;90;260000;1;0;41500
Ford;Focus;19;Benzinã;Manualã;1600;100;104000;0;0;57500
Ford;Focus;12;Benzinã;Manualã;1600;115;201000;0;1;120000
Ford;Focus;16;Motorinã;Manualã;1800;100;265000;0;5;55000
Renault;Megane;4;Motorinã;Manualã;1500;110;66000;1;0;151000
Hyundai;i20;3;Benzinã;Manualã;1200;84;110000;0;0;120500
Opel;Corsa;20;Benzinã;Manualã;1400;90;181125;1;8;51500
Skoda;Octavia;14;Benzinã;Automatã;1600;102;233000;0;6;75000
Renault;Clio;24;Benzinã;Manualã;1400;75;194000;0;0;49500
Fiat;Egea;0;Benzinã;Manualã;1400;95;7500;1;0;127000
Renault;Megane;18;Benzinã;Manualã;1400;95;133000;0;0;63000
Volkswagen;Passat;4;Motorinã;Automatã;1600;120;93300;0;1;307500
Toyota;Corolla;14;Motorinã;Manualã;1400;90;194000;2;2;89900
Opel;Corsa;26;Benzinã;Manualã;1400;60;170000;0;0;38750
Renault;Fluence;8;Motorinã;Manualã;1500;90;245000;0;1;110000
Volkswagen;Polo;7;Motorinã;Manualã;1600;90;235000;0;0;110000
Hyundai;Getz;11;Benzinã;Automatã;1400;97;101000;0;0;106500
Skoda;Octavia;15;Motorinã;Automatã;1900;105;178000;1;0;110000
Hyundai;i30;11;Motorinã;Manualã;1600;115;225000;0;4;100000
Citroen;C5;7;Motorinã;Automatã;1600;117;112000;1;2;200000
Volkswagen;Passat;7;Motorinã;Automatã;1600;105;140000;0;0;250000
Hyundai;i20;7;Motorinã;Manualã;1400;90;110000;1;0;98000
Opel;Vectra;15;Benzinã;Manualã;1600;100;78000;0;0;95000
Ford;Fusion;14;Motorinã;Manualã;1600;90;122000;0;0;90000
Audi;A6;16;Benzinã;Automatã;3000;220;308000;1;0;115000
Chevrolet;Cruze;10;Benzinã;Manualã;1600;124;165000;0;2;88000
Volkswagen;Polo;8;Benzinã;Manualã;1400;85;55000;0;1;135900
Dacia;Sandero;6;Motorinã;Manualã;1500;90;42500;0;0;136500
Honda;Civic;12;Benzinã;Automatã;1600;125;292000;3;6;85000
Honda;Civic;12;Benzinã;Automatã;1600;125;292000;3;6;85000
Ford;Focus;12;Motorinã;Manualã;1600;110;250000;1;5;86000
Tofaþ;Kartal;20;Benzinã;Manualã;1600;83;250000;0;0;25000
Mazda;3;11;Benzinã;Manualã;1600;105;178000;0;0;128000
Toyota;Corolla;15;Benzinã;Manualã;1600;113;124000;0;3;106500
Renault;Fluence;5;Motorinã;Manualã;1500;90;114000;0;1;137500
Honda;Civic;2;Motorinã;Automatã;1600;120;18500;0;0;279900
Skoda;Fabia;19;Benzinã;Manualã;1400;68;182000;0;0;62500
Chevrolet;Kalos;15;Benzinã;Manualã;1200;72;180000;1;0;55000
Fiat;Egea;3;Motorinã;Manualã;1200;95;104100;0;3;123000
Fiat;Palio;15;Motorinã;Manualã;1200;70;221000;0;6;56000
Opel;Astra;14;Benzinã;Manualã;1400;113;206000;0;0;85000
Ford;Focus;5;Motorinã;Manualã;1600;115;80600;0;0;205000
Renault;Symbol;1;Benzinã;Manualã;900;90;19500;0;0;106750
Hyundai;Elantra;16;Benzinã;Automatã;1600;107;163000;0;0;86500
Renault;Fluence;4;Motorinã;Automatã;1500;110;95000;0;0;159900
Renault;Megane;3;Motorinã;Automatã;1500;110;111000;0;4;159750
Citroen;C-Elysee;4;Motorinã;Manualã;1600;93;161000;0;1;107000
BMW;3;6;Benzinã;Automatã;1400;163;94000;0;0;295000
Volkswagen;Jetta;5;Motorinã;Automatã;1400;113;154000;1;4;179750
Audi;A3;3;Motorinã;Automatã;1600;110;104000;0;4;259500
Mercedes;CLA;5;Motorinã;Automatã;1500;109;65000;0;0;345000
Opel;Insignia;4;Motorinã;Automatã;1600;136;103000;0;2;249500
Honda;Civic;4;Benzinã;Automatã;1400;113;73000;0;0;216500
Hyundai;i30;9;Motorinã;Automatã;1600;115;228000;0;0;109000
Chevrolet;Cruze;9;Benzinã;Automatã;1600;124;188000;0;0;118750
Seat;Leon;10;Benzinã;Manualã;1200;113;175000;0;0;128500
Ford;Focus;9;Benzinã;Manualã;1600;125;174000;0;0;130000
Porsche;911;7;Benzinã;Automatã;3800;400;99000;0;0;1332911
BMW;4;5;Motorinã;Automatã;1800;188;88000;0;0;616420
Honda;Jazz;10;Benzinã;Automatã;1200;88;103000;0;0;130950
Opel;Astra;3;Motorinã;Automatã;1600;136;24000;0;0;238000
Hyundai;i20;1;Benzinã;Automatã;1400;100;6000;0;0;187000
Renault;Megane;0;Motorinã;Automatã;1400;113;0;0;0;262950
Opel;Astra;12;Benzinã;Manualã;1400;113;132500;0;0;105900
Hyundai;i20;5;Benzinã;Automatã;1400;100;51500;0;0;157500
Renault;R;29;Benzinã;Manualã;1200;63;39000;0;0;27850
Audi;A3;4;Motorinã;Automatã;1600;110;105000;0;0;277500
Volkswagen;Polo;15;Benzinã;Automatã;1400;75;178000;3;4;77000
Volkswagen;Polo;2;Benzinã;Automatã;1200;88;32000;0;0;185500
BMW;5;6;Benzinã;Automatã;1400;163;165000;0;0;340000
Fiat;Punto;6;Motorinã;Manualã;1200;75;38000;0;0;117750
Fiat;Palio;11;Benzinã;Manualã;1400;77;82000;2;1;71750
Honda;Civic;11;Benzinã;Automatã;1600;125;113000;0;0;117500
Fiat;Egea;3;Motorinã;Manualã;1200;95;75000;0;0;129750
Ford;Fiesta;5;Benzinã;Manualã;1400;96;74000;0;0;137000
Dacia;Sandero;5;Motorinã;Manualã;1500;90;82000;1;1;118750
Renault;Symbol;9;Motorinã;Manualã;1500;65;193000;0;0;72500
Skoda;SuperB;16;Motorinã;Manualã;1900;131;345000;0;0;76000
Honda;Civic;11;Benzinã;Manualã;1600;125;187250;0;1;105000
Renault;Fluence;4;Motorinã;Manualã;1500;90;165800;0;0;147000
Mercedes;E;25;Benzinã;Manualã;2000;136;11;0;0;65000
Volkswagen;Passat;5;Motorinã;Manualã;1600;120;163000;0;3;210000
BMW;3;5;Benzinã;Automatã;1400;163;41000;0;0;395000
Renault;R;22;Benzinã;Manualã;1600;90;194000;0;3;42250
Nissan;Almera;15;Benzinã;Manualã;1500;98;246000;1;10;65000
Volkswagen;Passat;6;Motorinã;Automatã;1600;105;118000;0;0;245000
Renault;Megane;3;Benzinã;Manualã;1600;115;49000;0;0;168500
Seat;Leon;14;Benzinã;Manualã;1600;102;148000;0;0;98500
Renault;Fluence;8;Motorinã;Manualã;1500;90;204000;0;4;115000
Seat;Toledo;3;Motorinã;Automatã;1400;90;153000;0;0;168000
Volkswagen;Passat;12;Benzinã;Manualã;1600;115;180000;0;0;116500
Hyundai;Accent;10;Motorinã;Automatã;1500;110;187000;1;1;96500
Skoda;Octavia;3;Motorinã;Automatã;1600;115;79000;0;0;217000
Peugeot;308;4;Motorinã;Automatã;1600;122;140000;0;0;209000
Ford;Focus;9;Benzinã;Manualã;1600;125;170000;0;2;140000
Volkswagen;Polo;7;Motorinã;Automatã;1600;90;82000;0;0;157900
Renault;Megane;0;Benzinã;Manualã;1200;138;18000;0;0;176500
Audi;A5;8;Motorinã;Automatã;1800;188;249000;0;0;320000
Renault;Megane;8;Benzinã;Manualã;1600;110;150000;0;0;119500
Dacia;Sandero;4;Benzinã;Manualã;1100;75;62000;0;0;97500
Renault;Megane;3;Motorinã;Automatã;1500;110;80000;0;0;179900
Citroen;C-Elysee;2;Motorinã;Manualã;1600;100;74900;0;0;127900
Ford;Focus;9;Benzinã;Manualã;1600;100;270000;0;0;102000
Opel;Corsa;17;Benzinã;Automatã;1000;58;209750;1;3;66500
Mercedes;B;11;Benzinã;Automatã;1400;88;124000;1;6;153000
Volkswagen;Polo;3;Motorinã;Automatã;1400;90;102000;0;0;155900
Fiat;Egea;3;Motorinã;Manualã;1200;95;165000;0;0;114900
BMW;3;2;Benzinã;Automatã;1500;136;29000;0;0;403900
BMW;3;16;Motorinã;Automatã;2000;150;350000;0;0;105500
Tofaþ;Þahin;26;Benzinã;Manualã;1600;80;280000;1;3;37000
Renault;R;25;Benzinã;Manualã;1400;83;250000;0;0;31750
BMW;3;16;Benzinã;Manualã;1600;115;187000;0;0;111900
Volkswagen;VW;4;Benzinã;Automatã;1200;138;109000;0;0;259900
Opel;Astra;15;Benzinã;Manualã;1600;105;262000;0;0;59750
Hyundai;i10;0;Benzinã;Manualã;1200;63;8850;0;0;136750
Renault;Clio;0;Benzinã;Manualã;900;90;10600;0;0;123000
Fiat;Egea;3;Motorinã;Automatã;1600;120;137000;1;0;134900
Fiat;Egea;4;Motorinã;Manualã;1200;95;158000;0;5;111900
Volkswagen;Golf;5;Benzinã;Manualã;1400;122;120000;2;5;199900
Opel;Astra;7;Benzinã;Manualã;1400;140;170000;0;5;94750
Seat;Leon;4;Motorinã;Automatã;1600;110;83000;0;0;233000
Ford;Focus;10;Benzinã;Manualã;1600;115;125000;2;4;96500
Renault;Megane;4;Motorinã;Automatã;1500;110;85000;0;0;170000
Renault;R;22;Benzinã;Manualã;1400;72;57000;0;0;95000
Volkswagen;Golf;7;Motorinã;Automatã;1600;105;174000;0;0;207750
Peugeot;207;8;Motorinã;Manualã;1400;71;195000;0;0;77500
Opel;Corsa;14;Motorinã;Manualã;1200;70;223000;0;0;71950
Renault;Megane;1;Motorinã;Manualã;1500;110;51000;0;0;244950
Ford;Focus;8;Motorinã;Manualã;1600;115;208900;0;0;139000
Volkswagen;Passat;4;Motorinã;Automatã;1600;120;82000;0;0;365000
Toyota;Carina;23;Benzinã;Manualã;2000;126;270000;0;0;42500
Mercedes;C;2;Motorinã;Automatã;1600;136;95100;0;0;419000
Audi;A6;3;Motorinã;Automatã;2000;190;169306;0;0;619000
Skoda;Octavia;1;Motorinã;Automatã;1600;115;33000;0;1;227300
Opel;Astra;5;Motorinã;Manualã;1600;136;33850;0;0;178900
Toyota;Corolla;7;Motorinã;Automatã;1400;90;139000;1;5;145000
Renault;Megane;7;Motorinã;Manualã;1500;90;150000;6;4;99500
Renault;Megane;12;Motorinã;Manualã;1500;85;140000;0;0;79500
Fiat;Egea;3;Motorinã;Automatã;1600;120;30000;0;0;174000
Volkswagen;Passat;9;Motorinã;Automatã;2000;140;172000;0;1;185000
Mercedes;A;18;Benzinã;Automatã;1400;113;194000;0;0;91000
Fiat;Tempra;25;Benzinã;Manualã;1600;90;97000;3;5;33750
Renault;Clio;17;Motorinã;Manualã;1500;65;360000;1;3;43000
Ford;C-Max;14;Motorinã;Automatã;1600;110;260000;0;2;92000
Ford;Focus;4;Motorinã;Automatã;1500;120;159000;0;1;178000
Dacia;Sandero;3;Motorinã;Manualã;1500;90;70000;0;0;138000
Peugeot;301;3;Motorinã;Manualã;1400;88;87000;0;0;112500
Ford;Focus;13;Motorinã;Manualã;1400;113;219000;0;0;99500
Renault;Clio;6;Motorinã;Manualã;1500;75;149000;0;0;114500
Volkswagen;Polo;14;Benzinã;Manualã;1400;80;68500;0;0;98750
Renault;Megane;14;Motorinã;Manualã;1500;85;244000;3;5;67750
Volkswagen;Jetta;7;Benzinã;Automatã;1400;122;149000;0;0;169900
Ford;Focus;8;Motorinã;Manualã;1600;95;284000;0;3;110000
Ford;Focus;4;Benzinã;Manualã;1600;125;65000;0;0;158500
Renault;Symbol;6;Benzinã;Manualã;1100;75;129000;0;0;94300
BMW;5;7;Motorinã;Automatã;2000;184;127000;0;1;405000
Citroen;C-Elysee;3;Motorinã;Manualã;1600;93;107000;0;0;121000
Renault;Symbol;3;Motorinã;Manualã;1500;90;53000;0;0;142000
Renault;Fluence;6;Motorinã;Automatã;1500;110;183000;0;0;137000
Opel;Insignia;11;Benzinã;Manualã;1400;113;221600;0;0;123000
Renault;Symbol;13;Motorinã;Manualã;1500;85;290000;1;0;61500
Renault;Symbol;4;Motorinã;Manualã;1500;90;80000;0;0;115000
Renault;Clio;5;Motorinã;Manualã;1500;75;199000;0;0;108000
Ford;Fiesta;19;Benzinã;Manualã;1200;75;200000;0;0;46000
Hyundai;i20;5;Benzinã;Automatã;1400;100;198000;0;0;127000
Volkswagen;VW;6;Benzinã;Automatã;1200;163;54000;0;0;249750
Volkswagen;Passat;4;Motorinã;Automatã;1600;120;70000;0;0;287000
Volkswagen;Passat;5;Motorinã;Automatã;1600;120;151000;0;0;255000
Peugeot;307;15;Motorinã;Manualã;1400;69;318000;0;0;51500
Volkswagen;Jetta;11;Benzinã;Automatã;1400;113;267000;0;0;92850
Fiat;Punto;14;Motorinã;Manualã;1200;75;190000;0;0;68500
Renault;Megane;10;Motorinã;Manualã;1500;100;154750;0;0;113750
Volkswagen;Polo;5;Motorinã;Automatã;1400;90;92000;0;0;148500
Ford;Fiesta;7;Motorinã;Manualã;1500;75;150000;0;0;108500
Renault;Symbol;10;Benzinã;Manualã;1400;75;209000;1;0;69750
Volkswagen;Golf;4;Benzinã;Automatã;1200;110;45541;1;0;224900
Volkswagen;Jetta;4;Benzinã;Manualã;1200;105;48000;0;0;230000
Toyota;Corolla;12;Motorinã;Manualã;1400;90;359;0;0;72750
Volkswagen;Golf;4;Benzinã;Manualã;1400;125;128000;0;0;168000
Opel;Insignia;11;Benzinã;Manualã;1600;180;204000;0;0;107250
Renault;Fluence;7;Motorinã;Manualã;1500;90;217000;0;0;103500
Renault;R;26;Benzinã;Manualã;1400;83;29000;0;0;32000
Renault;Megane;14;Motorinã;Manualã;1400;88;251000;0;0;62000
Opel;Vectra;24;Benzinã;Manualã;1800;138;0;0;0;44500
Chevrolet;Aveo;14;Benzinã;Manualã;1200;88;225000;0;0;60750
Renault;Megane;16;Benzinã;Manualã;1600;115;147000;0;0;66749
Renault;Megane;4;Motorinã;Automatã;1500;110;60000;0;0;194750
Toyota;Corolla;7;Motorinã;Automatã;1200;88;150000;0;0;133750
Ford;Focus;10;Motorinã;Manualã;1600;110;252000;0;0;117000
Ford;Mondeo;9;Benzinã;Manualã;1600;160;140000;0;0;120000
Chevrolet;Cruze;8;Benzinã;Automatã;1600;124;85000;0;0;127000
Opel;Corsa;7;Motorinã;Manualã;1200;75;218000;0;2;81750
Ford;Focus;8;Motorinã;Manualã;1600;95;193000;1;1;129900
Renault;Fluence;5;Motorinã;Manualã;1500;110;178000;0;2;137750
Dacia;Sandero;1;Benzinã;Manualã;1200;88;8000;0;0;135750
Opel;Meriva;14;Motorinã;Manualã;1200;75;154000;0;5;77500
Hyundai;Sonata;16;Benzinã;Automatã;2000;131;250000;0;5;73300
Mercedes;CLA;5;Motorinã;Automatã;1400;113;154000;0;0;303500
Volkswagen;VW;4;Benzinã;Automatã;1200;138;107000;0;0;260500
Hyundai;Accent;6;Motorinã;Manualã;1600;128;143000;0;0;120000
BMW;7;15;Benzinã;Automatã;3600;272;312000;1;0;175999
Ford;Fiesta;14;Motorinã;Manualã;1200;63;205000;0;0;62500
Toyota;Corolla;7;Benzinã;Manualã;1300;99;204000;0;0;123000
Citroen;C3;11;Motorinã;Manualã;1600;93;45000;0;0;88000
Audi;A3;3;Motorinã;Automatã;1600;116;136000;0;1;257500
Volkswagen;Passat;6;Motorinã;Automatã;1600;105;143000;0;0;217500
BMW;3;24;Benzinã;Manualã;2000;150;302000;0;0;53500
BMW;1;6;Motorinã;Manualã;2000;116;123000;0;0;198000
Volkswagen;Passat;10;Benzinã;Automatã;1800;160;210000;0;0;198000
Volkswagen;Passat;19;Motorinã;Manualã;1900;100;350000;0;0;72000
Tofaþ;Þahin;28;Benzinã;Manualã;1600;88;123000;2;6;19350
Renault;Fluence;6;Motorinã;Manualã;1500;110;199000;0;0;88500
Audi;A4;0;Motorinã;Automatã;1800;188;1400;0;0;698000
