Brand;Model;Vechime;Tip de combustibil;Tip de transmisie;Capacitatea motorului;Putere motor;KM;Pãr?i înlocuite;Pãr?i vopsite;Pre?
Audi;A4;9;Motorinã;Automatã;2000;143;210000;0;1;224750
Honda;Civic;1;Benzinã;Automatã;1600;125;14750;0;0;235000
Renault;R;28;Benzinã;Manualã;1400;72;272000;0;2;20000
Volkswagen;Golf;4;Benzinã;Automatã;1400;125;123000;0;2;212000
Opel;Astra;14;Benzinã;Automatã;1600;105;258000;3;2;88600
Renault;Clio;20;Benzinã;Manualã;1600;90;234;2;2;49000
Citroen;Xsara;16;Motorinã;Manualã;1400;69;295000;0;0;37500
Volkswagen;Golf;20;Benzinã;Manualã;1600;105;354000;1;11;65250
Fiat;Punto;8;Motorinã;Automatã;1200;95;135000;0;0;112000
Renault;Clio;5;Motorinã;Manualã;1500;90;44361;0;2;153000
Renault;Fluence;5;Motorinã;Automatã;1500;110;140000;0;0;145500
Mercedes;C;4;Benzinã;Automatã;1600;156;68250;0;0;395000
Volkswagen;Scirocco;8;Benzinã;Manualã;1400;122;120000;1;1;180000
Hyundai;i20;2;Benzinã;Automatã;1400;100;37000;0;0;184000
Volkswagen;Passat;5;Motorinã;Automatã;1600;120;57000;0;0;298000
Ford;Focus;8;Motorinã;Manualã;1600;95;148000;0;0;114750
Citroen;C5;9;Motorinã;Automatã;1600;114;210000;2;1;115000
Hyundai;i20;3;Benzinã;Automatã;1400;100;75000;0;2;161500
Toyota;Corolla;10;Benzinã;Manualã;1600;124;164000;1;1;118000
BMW;3;8;Benzinã;Automatã;1600;116;92000;1;2;204000
Ford;Focus;13;Motorinã;Automatã;1600;110;160000;0;2;80000
Fiat;Uno;22;Benzinã;Manualã;1400;71;249000;0;1;29500
Ford;Fiesta;6;Motorinã;Manualã;1500;75;183000;0;0;129000
Hyundai;i30;8;Motorinã;Manualã;1600;128;38000;0;0;165000
Toyota;Corolla;15;Benzinã;Manualã;1600;110;185000;1;0;95000
Fiat;Albea;15;Benzinã;Automatã;1200;80;127000;0;9;62500
Peugeot;301;7;Motorinã;Manualã;1600;93;208425;0;0;95000
Ford;Focus;7;Motorinã;Manualã;1600;95;115000;1;1;128500
Mercedes;E;7;Benzinã;Automatã;1600;156;92000;0;0;404000
Renault;Clio;9;Motorinã;Manualã;1500;70;197000;0;2;85000
Renault;Fluence;7;Benzinã;Manualã;1600;110;150000;0;3;119000
Kia;Rio;7;Motorinã;Manualã;1400;90;121000;2;2;102500
Kia;Clarus;23;Benzinã;Manualã;2000;133;197000;0;0;45000
Toyota;Corolla;16;Benzinã;Manualã;1600;110;174000;0;2;115222
Renault;Clio;19;Benzinã;Manualã;1400;98;194000;0;3;55000
Hyundai;i20;1;Benzinã;Automatã;1400;100;20500;0;0;180000
Volkswagen;Golf;14;Benzinã;Manualã;1600;115;174000;0;8;104000
Volkswagen;Jetta;9;Benzinã;Manualã;1600;115;245000;1;2;123000
Opel;Astra;3;Benzinã;Manualã;1600;115;51000;0;0;145000
Renault;Megane;2;Benzinã;Manualã;1600;115;50000;0;0;159500
Audi;A4;15;Benzinã;Manualã;1600;102;204000;1;2;127000
Renault;Clio;7;Benzinã;Manualã;1100;75;193000;0;3;88500
Volkswagen;Golf;8;Benzinã;Automatã;1400;122;68000;0;0;174500
Renault;R;22;Benzinã;Manualã;1600;90;354000;1;1;45000
Peugeot;307;16;Motorinã;Manualã;1400;69;330000;1;11;57000
Chevrolet;Kalos;14;Benzinã;Manualã;1400;94;246000;4;1;46000
Ford;Focus;8;Motorinã;Manualã;1600;95;229000;1;0;112000
Opel;Insignia;8;Benzinã;Manualã;1400;140;112000;0;0;156000
Citroen;C3;9;Motorinã;Manualã;1400;71;237000;2;2;65000
Volkswagen;Passat;13;Motorinã;Automatã;2000;140;283000;2;8;100000
Opel;Corsa;8;Benzinã;Manualã;1200;85;68900;0;0;109500
Volkswagen;Passat;1;Motorinã;Automatã;1600;120;17000;0;0;327500
Seat;Leon;16;Benzinã;Manualã;1600;105;299000;2;8;56000
BMW;5;8;Motorinã;Automatã;2000;184;160000;1;0;400000
Fiat;Linea;5;Motorinã;Manualã;1200;95;121000;0;0;109000
Volkswagen;Jetta;5;Benzinã;Manualã;1200;105;58000;0;0;184500
Opel;Astra;6;Motorinã;Manualã;1200;95;135000;0;1;142500
Renault;Clio;20;Benzinã;Manualã;1400;75;186000;0;2;51500
Renault;Clio;20;Benzinã;Manualã;1400;75;186000;0;2;51500
Fiat;Linea;5;Motorinã;Manualã;1200;95;66000;0;2;98000
Volkswagen;Passat;6;Motorinã;Automatã;1600;120;225000;1;1;212500
Tofaþ;Kartal;19;Benzinã;Manualã;1600;83;246000;1;0;38500
Renault;Megane;15;Motorinã;Manualã;1500;80;253000;0;0;72500
BMW;3;5;Benzinã;Automatã;1500;136;110000;0;5;300000
Peugeot;407;14;Motorinã;Manualã;1600;112;262000;0;8;79750
Tofaþ;Doðan;22;Benzinã;Manualã;1600;83;163000;1;0;39289
Ford;Mondeo;1;Benzinã;Automatã;1500;165;19500;0;0;303000
Volkswagen;Bora;20;Benzinã;Manualã;1600;105;230000;1;0;74500
Ford;Fiesta;6;Motorinã;Manualã;1500;75;164000;1;5;107000
Chevrolet;Cruze;9;Benzinã;Manualã;1600;124;139000;0;5;83000
Renault;Fluence;9;Motorinã;Manualã;1500;85;275000;0;0;88000
BMW;3;6;Benzinã;Automatã;1600;170;71600;0;0;365000
Fiat;Linea;10;Motorinã;Manualã;1200;90;245000;0;0;68500
Tofaþ;Doðan;23;Benzinã;Manualã;1600;83;135000;0;0;21000
Volkswagen;Passat;1;Motorinã;Automatã;1400;113;38000;0;0;360000
BMW;3;20;Benzinã;Manualã;2000;150;300000;2;7;98000
Ford;Fiesta;4;Benzinã;Manualã;1200;82;21000;1;0;120000
Toyota;Corolla;8;Motorinã;Automatã;1400;90;114000;0;3;152000
Honda;Civic;8;Benzinã;Manualã;1600;125;76000;0;0;185000
Opel;Corsa;5;Benzinã;Automatã;1400;90;86000;0;0;146750
Fiat;Palio;16;Benzinã;Manualã;1200;81;288000;0;0;33000
Renault;Fluence;6;Motorinã;Automatã;1500;110;177000;0;1;142000
Chevrolet;Aveo;8;Motorinã;Manualã;1200;75;207000;0;0;90000
Mercedes;200;30;Benzinã;Manualã;2000;118;336000;0;0;81000
Peugeot;106;19;Benzinã;Manualã;1400;76;250000;1;6;25900
Chevrolet;Kalos;15;Benzinã;Manualã;1200;72;212000;0;8;51500
Hyundai;Accent;4;Motorinã;Automatã;1600;136;123000;0;2;155000
Volvo;S40;19;Benzinã;Manualã;1800;122;310000;0;1;49500
Opel;Vectra;19;Benzinã;Automatã;1600;100;215000;2;2;66000
Chevrolet;Lacetti;10;Benzinã;Manualã;1400;95;61000;0;0;77000
Peugeot;407;12;Motorinã;Manualã;1600;112;213000;1;2;87500
Peugeot;306;19;Benzinã;Manualã;1600;99;154000;0;2;53500
Volkswagen;Polo;8;Benzinã;Manualã;1400;85;170000;2;4;98000
Volkswagen;Jetta;5;Motorinã;Manualã;1600;105;63000;2;1;190000
Opel;Corsa;9;Benzinã;Manualã;1200;85;124000;0;1;105000
Skoda;Fabia;13;Benzinã;Manualã;1200;64;160000;1;5;67500
Skoda;Fabia;13;Benzinã;Manualã;1200;64;160000;1;5;67500
Opel;Corsa;5;Benzinã;Automatã;1400;90;90000;3;0;134500
Chevrolet;Cruze;10;Benzinã;Manualã;1600;124;150000;0;2;95000
Opel;Vectra;21;Benzinã;Manualã;1600;75;225000;3;4;52000
Opel;Corsa;21;Benzinã;Manualã;1200;65;210000;2;5;42000
Hyundai;Accent;16;Motorinã;Manualã;1500;82;263000;3;1;55750
Renault;Clio;6;Motorinã;Automatã;1500;90;135000;0;2;135000
Citroen;C-Elysee;4;Motorinã;Manualã;1600;93;121000;0;1;105000
Renault;Symbol;6;Motorinã;Manualã;1500;75;172000;4;6;82000
Renault;Megane;15;Benzinã;Manualã;1600;115;201100;0;3;76250
Volkswagen;Passat;9;Benzinã;Automatã;1400;122;148000;0;4;165000
Renault;Laguna;11;Motorinã;Manualã;1500;110;318500;3;5;92500
Opel;Astra;5;Motorinã;Manualã;1600;136;81200;0;0;156000
Renault;Megane;19;Benzinã;Manualã;1400;95;108500;1;3;62500
Volkswagen;Golf;4;Benzinã;Manualã;1200;110;51000;0;0;215000
Ford;Focus;10;Motorinã;Manualã;1600;90;248000;1;3;105000
Seat;Ibiza;14;Benzinã;Manualã;1400;100;172000;1;2;69250
Renault;Laguna;14;Benzinã;Manualã;1600;115;240000;0;2;68750
Fiat;Punto;13;Motorinã;Manualã;1200;75;243606;1;2;67000
Mitsubishi;Lancer;11;Benzinã;Manualã;1500;109;163000;4;2;93000
Renault;Fluence;8;Motorinã;Manualã;1500;110;224000;3;3;95000
Hyundai;Accent;8;Motorinã;Manualã;1600;128;205000;3;3;100000
Mercedes;C;5;Motorinã;Automatã;1600;136;71880;4;0;335000
Ford;Focus;0;Benzinã;Manualã;1500;123;7500;0;0;222000
BMW;5;29;Benzinã;Manualã;2000;150;231000;1;12;49500
Opel;Astra;7;Benzinã;Manualã;1600;115;131000;1;0;118500
Ford;Focus;9;Benzinã;Manualã;1600;100;114000;0;1;115900
Toyota;Auris;4;Benzinã;Manualã;1300;99;115000;1;1;137000
Fiat;Egea;5;Motorinã;Manualã;1600;120;127600;0;0;142000
Peugeot;206;17;Benzinã;Automatã;1400;76;200000;4;1;70000
Citroen;C1;8;Benzinã;Automatã;1000;69;70000;0;2;102000
Renault;Fluence;8;Motorinã;Manualã;1500;90;287000;2;1;90000
Citroen;C3;15;Motorinã;Manualã;1400;93;215000;2;7;64000
Renault;Clio;6;Benzinã;Manualã;1100;75;145000;1;0;110000
Opel;Astra;12;Motorinã;Manualã;1200;90;173000;0;4;89900
Volkswagen;New;21;Benzinã;Manualã;2000;115;180000;0;4;80000
Mercedes;190;28;Benzinã;Manualã;2000;123;400000;0;0;63000
Honda;Civic;2;Benzinã;Automatã;1600;125;50000;0;0;223500
Renault;Clio;6;Motorinã;Manualã;1500;75;176000;0;2;115000
Volkswagen;VW;8;Benzinã;Automatã;1400;160;224500;0;0;210000
Toyota;Corolla;0;Benzinã;Automatã;1600;132;1300;0;0;220000
Ford;Fiesta;6;Motorinã;Manualã;1500;75;66000;0;0;144500
Volkswagen;Polo;7;Motorinã;Manualã;1600;105;240000;1;2;100000
Toyota;Corolla;9;Motorinã;Manualã;1400;90;185000;2;2;125000
Honda;Civic;15;Benzinã;Manualã;1600;110;183000;2;2;87500
Renault;Fluence;7;Motorinã;Manualã;1500;90;185000;0;0;135000
Tofaþ;Þahin;22;Benzinã;Manualã;1600;80;102000;0;0;40000
Honda;Civic;16;Benzinã;Automatã;1600;110;233000;0;6;93500
Renault;Clio;7;Motorinã;Manualã;1500;75;183330;2;4;87000
Renault;Megane;16;Benzinã;Automatã;1600;115;214000;0;2;80000
Renault;Laguna;18;Benzinã;Manualã;2000;140;160000;2;8;53000
Kia;Cerato;11;Motorinã;Manualã;1600;115;208000;0;1;86300
Seat;Ibiza;19;Benzinã;Manualã;1600;100;239420;1;1;52000
Renault;Symbol;6;Motorinã;Manualã;1500;90;152000;1;0;90750
Volkswagen;Jetta;14;Motorinã;Automatã;1900;105;355555;1;9;92500
Volkswagen;Jetta;14;Motorinã;Automatã;1900;105;355555;1;9;92500
Peugeot;301;3;Motorinã;Manualã;1600;93;43000;0;0;137000
Peugeot;206;16;Motorinã;Manualã;1400;71;269000;1;2;56000
Mercedes;200;31;Benzinã;Manualã;2000;118;374000;0;0;50000
Renault;Clio;7;Benzinã;Manualã;1100;75;48500;0;2;109000
Ford;Focus;9;Motorinã;Manualã;1600;90;204000;0;2;112000
Peugeot;301;1;Motorinã;Manualã;1500;102;76000;2;0;136000
Volkswagen;Golf;12;Benzinã;Manualã;1400;140;156000;1;0;125000
Volkswagen;Jetta;8;Benzinã;Manualã;1200;105;112000;0;0;155000
Toyota;Corolla;6;Benzinã;Manualã;1300;99;86000;0;0;144000
Toyota;Corolla;6;Benzinã;Manualã;1300;99;86000;0;0;144000
Fiat;Linea;6;Motorinã;Manualã;1200;95;200000;0;0;76000
Renault;Clio;20;Benzinã;Manualã;1600;90;240000;1;11;51000
Volkswagen;Passat;20;Benzinã;Automatã;1800;150;350000;0;2;68900
Citroen;C5;9;Motorinã;Manualã;1600;114;241000;1;1;108500
Opel;Astra;5;Motorinã;Manualã;1600;136;107000;0;0;175500
Opel;Omega;20;Benzinã;Automatã;2500;170;322000;0;0;76000
Toyota;Corolla;6;Motorinã;Automatã;1400;90;134000;0;0;161750
Toyota;Corolla;14;Motorinã;Manualã;1400;90;344000;1;0;66750
Opel;Corsa;8;Benzinã;Automatã;1200;85;108000;0;0;112500
Toyota;Corolla;24;Benzinã;Manualã;1600;105;177000;0;0;67750
Renault;Clio;1;Benzinã;Manualã;900;90;11000;0;0;119900
Peugeot;208;7;Benzinã;Manualã;1200;83;56000;0;0;117000
Chevrolet;Cruze;7;Benzinã;Manualã;1600;124;139000;0;4;112000
Ford;Focus;16;Benzinã;Manualã;1600;100;145000;0;0;55000
Opel;Astra;16;Benzinã;Manualã;1600;105;135000;0;3;84000
Toyota;Corolla;2;Benzinã;Manualã;1600;132;17500;1;0;170000
Ford;Focus;16;Benzinã;Manualã;1600;110;248;0;0;100000
Skoda;SuperB;1;Motorinã;Automatã;1600;120;10000;0;0;398000
Mazda;Lantis;24;Benzinã;Manualã;1800;122;328000;0;1;33500
Audi;A7;8;Motorinã;Automatã;3000;245;188000;2;2;480000
Citroen;C4;8;Motorinã;Automatã;1600;114;187000;1;0;118000
Ford;Focus;6;Motorinã;Manualã;1600;115;84000;0;0;170000
Peugeot;407;12;Motorinã;Manualã;1600;112;224000;0;3;95000
